NATHANIEL,0.081,73.045
RAFAEL,0.081,73.126
LESLIE,0.081,73.207
EDGAR,0.08,73.287
MILTON,0.08,73.367
RAUL,0.079,73.446
BEN,0.078,73.524
CHESTER,0.078,73.602
CECIL,0.078,73.68
DUANE,0.077,73.757
FRANKLIN,0.077,73.834
ANDRE,0.076,73.91
ELMER,0.074,73.984
BRAD,0.073,74.057
GABRIEL,0.073,74.13
RON,0.072,74.202
MITCHELL,0.072,74.274
ROLAND,0.072,74.347
ARNOLD,0.072,74.419
HARVEY,0.072,74.491
JARED,0.071,74.562
ADRIAN,0.069,74.631
KARL,0.069,74.699
CORY,0.068,74.767
CLAUDE,0.068,74.835
ERIK,0.068,74.903
DARRYL,0.067,74.97
JAMIE,0.066,75.037
NEIL,0.066,75.102
JESSIE,0.065,75.168
CHRISTIAN,0.065,75.233
JAVIER,0.065,75.297
FERNANDO,0.065,75.362
CLINTON,0.065,75.427
TED,0.064,75.491
MATHEW,0.064,75.555
TYRONE,0.064,75.619
DARREN,0.064,75.683
LONNIE,0.064,75.746
LANCE,0.063,75.81
CODY,0.063,75.873
JULIO,0.063,75.936
KELLY,0.063,75.998
KURT,0.062,76.061
ALLAN,0.061,76.122
NELSON,0.061,76.182
GUY,0.06,76.243
CLAYTON,0.06,76.303
HUGH,0.06,76.363
MAX,0.059,76.421
DWAYNE,0.059,76.48
DWIGHT,0.058,76.538
ARMANDO,0.058,76.596
FELIX,0.058,76.654
JIMMIE,0.058,76.711
EVERETT,0.057,76.768
JORDAN,0.056,76.824
IAN,0.056,76.88
WALLACE,0.056,76.936
KEN,0.055,76.991
BOB,0.055,77.047
JAIME,0.055,77.102
CASEY,0.054,77.156
ALFREDO,0.054,77.21
ALBERTO,0.053,77.263
DAVE,0.053,77.316
IVAN,0.053,77.369
JOHNNIE,0.052,77.421
SIDNEY,0.052,77.474
BYRON,0.052,77.526
JULIAN,0.052,77.578
ISAAC,0.051,77.629
MORRIS,0.051,77.68
CLIFTON,0.05,77.73
WILLARD,0.05,77.78
DARYL,0.05,77.831
ROSS,0.05,77.88
VIRGIL,0.049,77.929
ANDY,0.049,77.979
MARSHALL,0.049,78.028
SALVADOR,0.049,78.077
PERRY,0.049,78.126
KIRK,0.049,78.175
SERGIO,0.049,78.224
MARION,0.048,78.272
TRACY,0.048,78.32
SETH,0.048,78.368
KENT,0.048,78.416
TERRANCE,0.048,78.464
RENE,0.048,78.512
EDUARDO,0.047,78.559
TERRENCE,0.047,78.606
ENRIQUE,0.046,78.652
FREDDIE,0.046,78.698
WADE,0.045,78.743
AUSTIN,0.044,78.786
STUART,0.044,78.83
FREDRICK,0.043,78.873
ARTURO,0.043,78.917
ALEJANDRO,0.043,78.96
JACKIE,0.043,79.002
JOEY,0.043,79.045
NICK,0.043,79.088
LUTHER,0.043,79.13
WENDELL,0.042,79.172
JEREMIAH,0.042,79.215
EVAN,0.042,79.257
JULIUS,0.042,79.298
DANA,0.042,79.34
DONNIE,0.041,79.381
OTIS,0.041,79.422
SHANNON,0.04,79.462
TREVOR,0.04,79.503
OLIVER,0.04,79.543
LUKE,0.04,79.583
HOMER,0.04,79.623
GERARD,0.04,79.663
DOUG,0.04,79.703
KENNY,0.039,79.742
HUBERT,0.039,79.782
ANGELO,0.039,79.821
SHAUN,0.039,79.859
LYLE,0.038,79.898
MATT,0.038,79.936
LYNN,0.038,79.974
ALFONSO,0.038,80.012
ORLANDO,0.037,80.049
REX,0.037,80.086
CARLTON,0.037,80.123
ERNESTO,0.037,80.16
CAMERON,0.037,80.197
NEAL,0.037,80.233
PABLO,0.036,80.27
LORENZO,0.036,80.306
OMAR,0.036,80.342
WILBUR,0.036,80.378
BLAKE,0.036,80.414
GRANT,0.036,80.45
HORACE,0.036,80.486
RODERICK,0.036,80.521
