ROSEMARY,0.107,58.589
EILEEN,0.105,58.694
TERRI,0.105,58.799
GERTRUDE,0.103,58.902
LUCY,0.103,59.005
TONYA,0.102,59.107
ELLA,0.101,59.208
STACEY,0.101,59.308
WILMA,0.099,59.408
GINA,0.099,59.506
KRISTIN,0.099,59.605
JESSIE,0.098,59.703
NATALIE,0.098,59.801
AGNES,0.098,59.899
VERA,0.098,59.997
WILLIE,0.097,60.094
CHARLENE,0.097,60.191
BESSIE,0.096,60.287
DELORES,0.095,60.382
MELINDA,0.094,60.477
PEARL,0.094,60.571
ARLENE,0.094,60.665
MAUREEN,0.092,60.757
COLLEEN,0.092,60.849
ALLISON,0.092,60.941
TAMARA,0.092,61.033
JOY,0.091,61.124
GEORGIA,0.091,61.215
CONSTANCE,0.091,61.305
LILLIE,0.09,61.396
CLAUDIA,0.09,61.485
JACKIE,0.09,61.575
MARCIA,0.09,61.665
TANYA,0.089,61.754
NELLIE,0.089,61.843
MINNIE,0.089,61.931
MARLENE,0.088,62.02
HEIDI,0.088,62.108
GLENDA,0.088,62.195
LYDIA,0.086,62.281
VIOLA,0.086,62.367
COURTNEY,0.086,62.453
MARIAN,0.086,62.539
STELLA,0.085,62.623
CAROLINE,0.085,62.708
DORA,0.084,62.792
JO,0.083,62.875
VICKIE,0.082,62.957
MATTIE,0.081,63.038
TERRY,0.08,63.118
MAXINE,0.079,63.198
IRMA,0.079,63.277
MABEL,0.078,63.355
MARSHA,0.078,63.434
MYRTLE,0.078,63.511
LENA,0.077,63.589
CHRISTY,0.077,63.665
DEANNA,0.076,63.742
PATSY,0.076,63.818
HILDA,0.075,63.893
GWENDOLYN,0.074,63.967
JENNIE,0.073,64.04
NORA,0.073,64.113
MARGIE,0.072,64.185
NINA,0.072,64.257
CASSANDRA,0.072,64.329
LEAH,0.072,64.401
PENNY,0.071,64.472
KAY,0.071,64.543
PRISCILLA,0.071,64.614
NAOMI,0.071,64.684
CAROLE,0.071,64.755
BRANDY,0.07,64.825
OLGA,0.07,64.895
BILLIE,0.069,64.964
DIANNE,0.069,65.033
TRACEY,0.069,65.102
LEONA,0.069,65.171
JENNY,0.068,65.239
FELICIA,0.068,65.307
SONIA,0.068,65.374
MIRIAM,0.066,65.44
VELMA,0.066,65.506
BECKY,0.066,65.572
BOBBIE,0.065,65.637
VIOLET,0.065,65.702
KRISTINA,0.065,65.767
TONI,0.064,65.831
MISTY,0.063,65.894
MAE,0.063,65.957
SHELLY,0.062,66.019
DAISY,0.062,66.081
RAMONA,0.062,66.143
SHERRI,0.062,66.205
ERIKA,0.061,66.267
KATRINA,0.061,66.328
CLAIRE,0.061,66.388
LINDSEY,0.06,66.448
LINDSAY,0.06,66.507
GENEVA,0.059,66.567
GUADALUPE,0.059,66.626
BELINDA,0.059,66.685
MARGARITA,0.059,66.743
SHERYL,0.059,66.802
CORA,0.058,66.86
FAYE,0.058,66.917
ADA,0.057,66.975
NATASHA,0.057,67.032
SABRINA,0.057,67.089
ISABEL,0.057,67.146
MARGUERITE,0.056,67.202
HATTIE,0.056,67.257
HARRIET,0.056,67.313
MOLLY,0.055,67.368
CECILIA,0.055,67.424
KRISTI,0.055,67.479
BRANDI,0.055,67.534
BLANCHE,0.055,67.589
SANDY,0.055,67.644
ROSIE,0.055,67.699
JOANNA,0.055,67.754
IRIS,0.055,67.808
EUNICE,0.054,67.863
ANGIE,0.054,67.917
INEZ,0.053,67.97
LYNDA,0.053,68.023
MADELINE,0.052,68.075
AMELIA,0.052,68.127
ALBERTA,0.052,68.179
GENEVIEVE,0.051,68.23
MONIQUE,0.051,68.282
JODI,0.051,68.333
JANIE,0.051,68.385
MAGGIE,0.051,68.436
KAYLA,0.051,68.487
SONYA,0.051,68.538
JAN,0.051,68.589
LEE,0.051,68.641
KRISTINE,0.051,68.691
CANDACE,0.051,68.742
FANNIE,0.05,68.792
MARYANN,0.05,68.843
OPAL,0.05,68.893
ALISON,0.05,68.943
YVETTE,0.05,68.993
MELODY,0.05,69.043
LUZ,0.049,69.092
SUSIE,0.049,69.142
OLIVIA,0.049,69.191
FLORA,0.049,69.24
SHELLEY,0.049,69.288
KRISTY,0.048,69.337
MAMIE,0.048,69.385
LULA,0.048,69.433
LOLA,0.048,69.482
VERNA,0.048,69.53
BEULAH,0.048,69.577
ANTOINETTE,0.048,69.625
CANDICE,0.046,69.671
JUANA,0.046,69.717
JEANNETTE,0.046,69.763
PAM,0.046,69.809
KELLI,0.046,69.854
HANNAH,0.045,69.899
WHITNEY,0.045,69.944
BRIDGET,0.045,69.989
KARLA,0.044,70.034
CELIA,0.044,70.078
LATOYA,0.043,70.121
PATTY,0.043,70.165
SHELIA,0.043,70.208
GAYLE,0.043,70.251
DELLA,0.043,70.294
VICKY,0.043,70.336
LYNNE,0.043,70.379
SHERI,0.042,70.421
MARIANNE,0.042,70.463
KARA,0.041,70.504
JACQUELYN,0.041,70.544
ERMA,0.041,70.585
BLANCA,0.041,70.626
MYRA,0.04,70.666
LETICIA,0.04,70.706
PAT,0.04,70.746
KRISTA,0.04,70.786
ROXANNE,0.04,70.826
ANGELICA,0.039,70.865
JOHNNIE,0.039,70.905
ROBYN,0.039,70.944
FRANCIS,0.039,70.983
ADRIENNE,0.039,71.022
ROSALIE,0.039,71.061
ALEXANDRA,0.039,71.1
BROOKE,0.039,71.139
BETHANY,0.039,71.177
SADIE,0.039,71.216
BERNADETTE,0.039,71.254
TRACI,0.038,71.293
JODY,0.038,71.331
KENDRA,0.038,71.369
JASMINE,0.038,71.407
NICHOLE,0.038,71.445
RACHAEL,0.038,71.483
CHELSEA,0.038,71.52
MABLE,0.038,71.558
ERNESTINE,0.038,71.596
MURIEL,0.038,71.634
MARCELLA,0.037,71.671
ELENA,0.037,71.708
KRYSTAL,0.037,71.745
ANGELINA,0.037,71.781
NADINE,0.036,71.818
KARI,0.036,71.853
ESTELLE,0.036,71.889
DIANNA,0.036,71.925
PAULETTE,0.036,71.961
LORA,0.036,71.996
MONA,0.035,72.032
DOREEN,0.035,72.067
ROSEMARIE,0.035,72.102
ANGEL,0.035,72.137
DESIREE,0.035,72.172
ANTONIA,0.035,72.207
HOPE,0.034,72.241
GINGER,0.034,72.274
JANIS,0.034,72.308
BETSY,0.034,72.342
CHRISTIE,0.034,72.375
FREDA,0.034,72.409
MERCEDES,0.033,72.442
MEREDITH,0.033,72.475
LYNETTE,0.033,72.508
TERI,0.033,72.541
CRISTINA,0.033,72.573
EULA,0.033,72.606
LEIGH,0.032,72.638
MEGHAN,0.032,72.67
SOPHIA,0.032,72.702
ELOISE,0.032,72.734
ROCHELLE,0.032,72.766
GRETCHEN,0.032,72.798
CECELIA,0.032,72.829
RAQUEL,0.031,72.86
HENRIETTA,0.031,72.891
ALYSSA,0.031,72.922
JANA,0.031,72.953
KELLEY,0.031,72.983
GWEN,0.031,73.014
KERRY,0.031,73.044
JENNA,0.03,73.075
TRICIA,0.03,73.105
LAVERNE,0.03,73.135
OLIVE,0.03,73.165
ALEXIS,0.03,73.195
TASHA,0.03,73.225
SILVIA,0.029,73.254
ELVIRA,0.029,73.284
CASEY,0.029,73.313
DELIA,0.029,73.342
SOPHIE,0.029,73.372
KATE,0.029,73.401
PATTI,0.029,73.43
LORENA,0.029,73.459
KELLIE,0.029,73.488
SONJA,0.029,73.517
LILA,0.029,73.546
LANA,0.029,73.575
DARLA,0.029,73.604
MAY,0.029,73.633
MINDY,0.029,73.661
ESSIE,0.029,73.69
MANDY,0.029,73.719
LORENE,0.028,73.747
ELSA,0.028,73.775
JOSEFINA,0.028,73.804
JEANNIE,0.028,73.832
MIRANDA,0.028,73.86
DIXIE,0.028,73.888
LUCIA,0.028,73.916
MARTA,0.028,73.944
FAITH,0.028,73.972
LELA,0.028,73.999
JOHANNA,0.028,74.027
SHARI,0.028,74.055
CAMILLE,0.028,74.082
TAMI,0.027,74.11
SHAWNA,0.027,74.137
ELISA,0.027,74.164
EBONY,0.027,74.192
MELBA,0.027,74.219
ORA,0.027,74.246
NETTIE,0.027,74.273
TABITHA,0.027,74.3
OLLIE,0.027,74.327
JAIME,0.027,74.354
WINIFRED,0.027,74.381
KRISTIE,0.027,74.408
MARINA,0.027,74.435
ALISHA,0.027,74.462
AIMEE,0.027,74.488
RENA,0.027,74.515
MYRNA,0.026,74.541
MARLA,0.026,74.567
TAMMIE,0.026,74.593
LATASHA,0.026,74.619
BONITA,0.026,74.645
PATRICE,0.026,74.671
RONDA,0.026,74.697
SHERRIE,0.026,74.722
ADDIE,0.026,74.748
FRANCINE,0.025,74.773
DELORIS,0.025,74.799
STACIE,0.025,74.824
ADRIANA,0.025,74.849
CHERI,0.025,74.874
SHELBY,0.025,74.899
ABIGAIL,0.025,74.924
CELESTE,0.025,74.949
JEWEL,0.025,74.974
CARA,0.025,74.999
ADELE,0.025,75.024
REBEKAH,0.025,75.048
LUCINDA,0.025,75.073
DORTHY,0.025,75.097
CHRIS,0.024,75.122
EFFIE,0.024,75.146
TRINA,0.024,75.171
REBA,0.024,75.195
SHAWN,0.024,75.219
SALLIE,0.024,75.244
AURORA,0.024,75.268
LENORA,0.024,75.292
ETTA,0.024,75.317
LOTTIE,0.024,75.341
KERRI,0.024,75.365
TRISHA,0.024,75.389
NIKKI,0.024,75.413
ESTELLA,0.024,75.438
FRANCISCA,0.024,75.461
JOSIE,0.024,75.485
TRACIE,0.024,75.509
MARISSA,0.024,75.533
KARIN,0.024,75.557
BRITTNEY,0.024,75.58
JANELLE,0.024,75.604
LOURDES,0.024,75.628
LAUREL,0.024,75.651
HELENE,0.024,75.675
FERN,0.024,75.698
ELVA,0.024,75.722
CORINNE,0.024,75.745
KELSEY,0.024,75.769
INA,0.023,75.792
BETTIE,0.023,75.816
ELISABETH,0.023,75.839
AIDA,0.023,75.862
CAITLIN,0.023,75.886
INGRID,0.023,75.909
IVA,0.023,75.932
EUGENIA,0.023,75.955
CHRISTA,0.023,75.978
GOLDIE,0.023,76
CASSIE,0.023,76.023
MAUDE,0.023,76.046
JENIFER,0.023,76.068
THERESE,0.022,76.091
FRANKIE,0.022,76.113
DENA,0.022,76.136
LORNA,0.022,76.158
JANETTE,0.022,76.18
LATONYA,0.022,76.202
CANDY,0.022,76.224
MORGAN,0.022,76.247
CONSUELO,0.022,76.269
TAMIKA,0.022,76.291
ROSETTA,0.022,76.313
DEBORA,0.022,76.334
CHERIE,0.022,76.356
POLLY,0.022,76.378
DINA,0.022,76.4
JEWELL,0.021,76.421
FAY,0.021,76.442
JILLIAN,0.021,76.464
DOROTHEA,0.021,76.485
NELL,0.021,76.506
TRUDY,0.021,76.527
ESPERANZA,0.021,76.548
PATRICA,0.021,76.57
